planet,endpoint_type,to_nakshatra,to_pada,event_utc_dt,year
venus,nakshatra,Ashwini,1,2005-12-22T03:50:37.500000+00:00,2005
venus,nakshatra,Revati,4,2006-04-12T17:26:15+00:00,2006
venus,nakshatra,Ashwini,1,2006-08-03T21:16:52.500000+00:00,2006
venus,nakshatra,Revati,4,2006-11-23T10:46:52.500000+00:00,2006
venus,nakshatra,Ashwini,1,2007-03-16T13:46:52.500000+00:00,2007
venus,nakshatra,Revati,4,2007-07-06T02:48:45+00:00,2007
venus,nakshatra,Ashwini,1,2007-10-27T06:16:52.500000+00:00,2007
venus,nakshatra,Revati,4,2008-02-15T20:15:00+00:00,2008
venus,nakshatra,Ashwini,1,2008-06-07T23:48:45+00:00,2008
venus,nakshatra,Revati,4,2008-09-27T12:50:37.500000+00:00,2008
venus,nakshatra,Ashwini,1,2009-01-18T15:50:37.500000+00:00,2009
venus,nakshatra,Revati,4,2009-05-10T04:58:07.500000+00:00,2009
venus,nakshatra,Ashwini,1,2009-08-31T09:05:37.500000+00:00,2009
venus,nakshatra,Revati,4,2009-12-20T22:52:30+00:00,2009
venus,nakshatra,Ashwini,1,2010-04-13T02:03:45+00:00,2010
venus,nakshatra,Revati,4,2010-08-02T14:43:07.500000+00:00,2010
venus,nakshatra,Ashwini,1,2010-11-23T17:54:22.500000+00:00,2010
venus,nakshatra,Revati,4,2011-03-15T07:58:07.500000+00:00,2011
venus,nakshatra,Ashwini,1,2011-07-06T11:54:22.500000+00:00,2011
venus,nakshatra,Revati,4,2011-10-26T01:07:30+00:00,2011
venus,nakshatra,Ashwini,1,2012-02-16T03:45:00+00:00,2012
venus,nakshatra,Revati,4,2012-06-06T16:46:52.500000+00:00,2012
venus,nakshatra,Ashwini,1,2012-09-27T20:48:45+00:00,2012
venus,nakshatra,Revati,4,2013-01-17T10:52:30+00:00,2013
venus,nakshatra,Ashwini,1,2013-05-10T14:20:37.500000+00:00,2013
