planet,endpoint_type,to_sign,event_utc_dt,year
venus,rashi,Aries,1999-03-17T11:31:52.500000+00:00,1999
venus,rashi,Pisces,1999-07-07T00:45:00+00:00,1999
venus,rashi,Aries,1999-10-28T04:13:07.500000+00:00,1999
venus,rashi,Pisces,2000-02-16T17:37:30+00:00,2000
venus,rashi,Aries,2000-06-08T21:11:15+00:00,2000
venus,rashi,Pisces,2000-09-28T10:35:37.500000+00:00,2000
venus,rashi,Aries,2001-01-19T13:41:15+00:00,2001
venus,rashi,Pisces,2001-05-11T03:00:00+00:00,2001
venus,rashi,Aries,2001-09-01T06:45:00+00:00,2001
venus,rashi,Pisces,2001-12-21T20:09:22.500000+00:00,2001
venus,rashi,Aries,2002-04-13T23:37:30+00:00,2002
venus,rashi,Pisces,2002-08-03T12:39:22.500000+00:00,2002
venus,rashi,Aries,2002-11-24T15:56:15+00:00,2002
venus,rashi,Pisces,2003-03-16T05:48:45+00:00,2003
venus,rashi,Aries,2003-07-07T09:11:15+00:00,2003
venus,rashi,Pisces,2003-10-26T22:41:15+00:00,2003
venus,rashi,Aries,2004-02-17T01:41:15+00:00,2004
venus,rashi,Pisces,2004-06-07T14:48:45+00:00,2004
venus,rashi,Aries,2004-09-28T18:39:22.500000+00:00,2004
venus,rashi,Pisces,2005-01-18T08:15:00+00:00,2005
venus,rashi,Aries,2005-05-11T11:37:30+00:00,2005
venus,rashi,Pisces,2005-08-31T00:45:00+00:00,2005
venus,rashi,Aries,2005-12-22T03:50:37.500000+00:00,2005
venus,rashi,Pisces,2006-04-12T17:26:15+00:00,2006
venus,rashi,Aries,2006-08-03T21:16:52.500000+00:00,2006
venus,rashi,Pisces,2006-11-23T10:46:52.500000+00:00,2006
venus,rashi,Aries,2007-03-16T13:46:52.500000+00:00,2007
venus,rashi,Pisces,2007-07-06T02:48:45+00:00,2007
venus,rashi,Aries,2007-10-27T06:16:52.500000+00:00,2007
venus,rashi,Pisces,2008-02-15T20:15:00+00:00,2008
venus,rashi,Aries,2008-06-07T23:48:45+00:00,2008
venus,rashi,Pisces,2008-09-27T12:50:37.500000+00:00,2008
venus,rashi,Aries,2009-01-18T15:50:37.500000+00:00,2009
venus,rashi,Pisces,2009-05-10T04:58:07.500000+00:00,2009
venus,rashi,Aries,2009-08-31T09:05:37.500000+00:00,2009
venus,rashi,Pisces,2009-12-20T22:52:30+00:00,2009
venus,rashi,Aries,2010-04-13T02:03:45+00:00,2010
venus,rashi,Pisces,2010-08-02T14:43:07.500000+00:00,2010
venus,rashi,Aries,2010-11-23T17:54:22.500000+00:00,2010
venus,rashi,Pisces,2011-03-15T07:58:07.500000+00:00,2011
venus,rashi,Aries,2011-07-06T11:54:22.500000+00:00,2011
venus,rashi,Pisces,2011-10-26T01:07:30+00:00,2011
venus,rashi,Aries,2012-02-16T03:45:00+00:00,2012
venus,rashi,Pisces,2012-06-06T16:46:52.500000+00:00,2012
venus,rashi,Aries,2012-09-27T20:48:45+00:00,2012
venus,rashi,Pisces,2013-01-17T10:52:30+00:00,2013
venus,rashi,Aries,2013-05-10T14:20:37.500000+00:00,2013
venus,rashi,Pisces,2013-08-30T02:48:45+00:00,2013
venus,rashi,Aries,2013-12-21T05:54:22.500000+00:00,2013
venus,rashi,Pisces,2014-04-11T19:35:37.500000+00:00,2014
venus,rashi,Aries,2014-08-02T23:48:45+00:00,2014
venus,rashi,Pisces,2014-11-22T13:30:00+00:00,2014
venus,rashi,Aries,2015-03-15T16:01:52.500000+00:00,2015
venus,rashi,Pisces,2015-07-05T04:52:30+00:00,2015
venus,rashi,Aries,2015-10-26T08:26:15+00:00,2015
venus,rashi,Pisces,2016-02-14T22:35:37.500000+00:00,2016
venus,rashi,Aries,2016-06-07T02:31:52.500000+00:00,2016
venus,rashi,Pisces,2016-09-26T15:16:52.500000+00:00,2016
venus,rashi,Aries,2017-01-17T17:43:07.500000+00:00,2017
venus,rashi,Pisces,2017-05-09T07:07:30+00:00,2017
venus,rashi,Aries,2017-08-30T11:26:15+00:00,2017
venus,rashi,Pisces,2017-12-20T01:35:37.500000+00:00,2017
venus,rashi,Aries,2018-04-12T04:35:37.500000+00:00,2018
venus,rashi,Pisces,2018-08-01T16:41:15+00:00,2018
venus,rashi,Aries,2018-11-22T19:58:07.500000+00:00,2018
venus,rashi,Pisces,2019-03-14T10:18:45+00:00,2019
venus,rashi,Aries,2019-07-05T14:31:52.500000+00:00,2019
venus,rashi,Pisces,2019-10-25T03:45:00+00:00,2019
venus,rashi,Aries,2020-02-15T05:54:22.500000+00:00,2020
venus,rashi,Pisces,2020-06-05T18:50:37.500000+00:00,2020
venus,rashi,Aries,2020-09-26T23:15:00+00:00,2020
venus,rashi,Pisces,2021-01-16T13:24:22.500000+00:00,2021
venus,rashi,Aries,2021-05-09T16:58:07.500000+00:00,2021
venus,rashi,Pisces,2021-08-29T05:03:45+00:00,2021
venus,rashi,Aries,2021-12-20T07:46:52.500000+00:00,2021
venus,rashi,Pisces,2022-04-10T21:50:37.500000+00:00,2022
venus,rashi,Aries,2022-08-02T02:20:37.500000+00:00,2022
venus,rashi,Pisces,2022-11-21T16:07:30+00:00,2022
venus,rashi,Aries,2023-03-14T18:28:07.500000+00:00,2023
venus,rashi,Pisces,2023-07-04T06:39:22.500000+00:00,2023
venus,rashi,Aries,2023-10-25T10:30:00+00:00,2023
venus,rashi,Pisces,2024-02-14T01:13:07.500000+00:00,2024
venus,rashi,Aries,2024-06-06T05:09:22.500000+00:00,2024
venus,rashi,Pisces,2024-09-25T17:37:30+00:00,2024
venus,rashi,Aries,2025-01-16T19:46:52.500000+00:00,2025
venus,rashi,Pisces,2025-05-08T09:05:37.500000+00:00,2025
venus,rashi,Aries,2025-08-29T14:03:45+00:00,2025
venus,rashi,Pisces,2025-12-19T04:13:07.500000+00:00,2025
